Score: 9.622174081765404
Runtime: 77ms
Score: 9.660933842121239
Runtime: 76ms
Score: 9.625393618094913
Runtime: 83ms
Score: 9.601519915962767
Runtime: 77ms
Score: 9.755379026534023
Runtime: 82ms
Score: 9.679123833422429
Runtime: 81ms
Score: 9.91051164547258
Runtime: 82ms
Score: 9.342807901542987
Runtime: 83ms
Score: 9.663573154379169
Runtime: 76ms
Score: 9.603849092195254
Runtime: 101ms
Score: 9.66503464163903
Runtime: 85ms
Score: 9.901219984731739
Runtime: 81ms
Score: 9.839639430303189
Runtime: 90ms
Score: 9.658668348847531
Runtime: 99ms
Score: 9.500235055329961
Runtime: 93ms
Score: 9.637594595266073
Runtime: 79ms
Score: 9.744730945558219
Runtime: 86ms
Score: 9.831845325208207
Runtime: 90ms
Score: 9.808353809527835
Runtime: 80ms
Score: 9.585391186792883
Runtime: 87ms
Score: 9.610332160701025
Runtime: 83ms
Score: 9.75263306415021
Runtime: 86ms
Score: 9.786489888459009
Runtime: 102ms
Score: 9.744398338458188
Runtime: 101ms
Score: 9.765902508255351
Runtime: 80ms
Score: 9.569538079742344
Runtime: 84ms
Score: 9.92264249065962
Runtime: 79ms
Score: 9.680638183038754
Runtime: 96ms
Score: 9.692461272098207
Runtime: 78ms
Score: 9.445624372634661
Runtime: 95ms
Score: 9.637179808771169
Runtime: 85ms
Score: 9.666362305547272
Runtime: 110ms
Score: 9.761118992777165
Runtime: 98ms
Score: 9.792601075291678
Runtime: 94ms
Score: 9.624254378298676
Runtime: 94ms
Score: 9.871546038872225
Runtime: 89ms
Score: 9.812156540203972
Runtime: 145ms
Score: 9.426066584790796
Runtime: 123ms
Score: 9.753496359008698
Runtime: 88ms
Score: 9.751076458354833
Runtime: 103ms
Score: 9.779498500468698
Runtime: 76ms
Score: 9.434379174384324
Runtime: 77ms
Score: 9.79813592273895
Runtime: 76ms
Score: 9.945104268949674
Runtime: 81ms
Score: 9.12366969742478
Runtime: 74ms
Score: 9.696716165304244
Runtime: 74ms
Score: 9.365793347134378
Runtime: 75ms
Score: 9.529534466588881
Runtime: 128ms
Score: 9.817952518887589
Runtime: 94ms
Score: 9.943223610853881
Runtime: 85ms
Score: 9.442773466317842
Runtime: 80ms
Score: 9.815548918044806
Runtime: 92ms
Score: 9.569809895804596
Runtime: 76ms
Score: 9.910999094694496
Runtime: 77ms
Score: 9.785773104616316
Runtime: 109ms
Score: 9.483928804977948
Runtime: 109ms
Score: 9.867255924614536
Runtime: 110ms
Score: 9.65449263317414
Runtime: 108ms
Score: 9.734978668253547
Runtime: 85ms
Score: 9.784017422225505
Runtime: 86ms
Score: 9.723784510253191
Runtime: 105ms
Score: 9.661278438720446
Runtime: 79ms
Score: 9.788579256547477
Runtime: 76ms
Score: 9.58349935475527
Runtime: 74ms
Score: 9.819274232970557
Runtime: 76ms
Score: 9.071095357851974
Runtime: 73ms
Score: 9.74177075291578
Runtime: 94ms
Score: 9.765369448907235
Runtime: 84ms
Score: 9.574137410545267
Runtime: 87ms
Score: 9.669955387784748
Runtime: 82ms
Score: 9.45791354603585
Runtime: 85ms
Score: 9.795523705958193
Runtime: 81ms
Score: 9.718674230903451
Runtime: 87ms
Score: 9.717178895224809
Runtime: 82ms
Score: 9.806363682142736
Runtime: 126ms
Score: 9.680334443573592
Runtime: 169ms
Score: 9.660524505871214
Runtime: 119ms
Score: 9.671664492041895
Runtime: 140ms
Score: 9.832750511684784
Runtime: 121ms
Score: 9.694943493373756
Runtime: 119ms
Score: 9.745902348363472
Runtime: 142ms
Score: 9.251120667906413
Runtime: 111ms
Score: 9.271098552379945
Runtime: 115ms
Score: 9.586419935249532
Runtime: 102ms
Score: 9.344695741304253
Runtime: 112ms
Score: 9.742797100840498
Runtime: 111ms
Score: 9.839891333866932
Runtime: 113ms
Score: 9.690964244766251
Runtime: 122ms
Score: 9.46382519696349
Runtime: 112ms
Score: 9.660576214709607
Runtime: 132ms
Score: 9.621451301820326
Runtime: 83ms
Score: 9.474606947035234
Runtime: 87ms
Score: 9.656767577097398
Runtime: 93ms
Score: 9.717152742766036
Runtime: 75ms
Score: 9.824547505177485
Runtime: 73ms
Score: 9.817457998665654
Runtime: 95ms
Score: 9.636610009216634
Runtime: 153ms
Score: 9.726251408395973
Runtime: 104ms
Score: 9.51693665807097
Runtime: 77ms
Score: 9.790059001660257
Runtime: 80ms
