% function evaluation | noise-free fitness - Fopt (6,870000000000e+00) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +2,631849918e+01 +2,631849918e+01 +3,318849918e+01 +3,318849918e+01 +2,3088e+00 -8,9919e-01 -2,9229e+00 -1,6728e+00 +4,6776e+00 -4,9388e+00 +4,6370e+00 +4,3987e+00 +4,4719e+00 +4,3708e+00
3 +2,327122815e+01 +2,327122815e+01 +3,014122815e+01 +3,014122815e+01 +1,9495e+00 +3,0523e+00 -4,9497e+00 +2,3135e-01 +2,4398e+00 -3,5798e+00 -1,8272e-01 +4,4555e-01 +7,7100e-01 -2,9509e+00
4 +7,978008999e+00 +7,978008999e+00 +1,484800900e+01 +1,484800900e+01 +1,2336e+00 -3,1529e+00 -4,8932e+00 -3,3896e+00 -3,2195e+00 +4,0397e-01 +4,7383e+00 -2,5457e+00 -1,0548e+00 -2,8240e+00
41 +4,777412006e+00 +4,777412006e+00 +1,164741201e+01 +1,164741201e+01 -4,0092e+00 -7,9855e-01 +3,7646e+00 +2,7562e+00 +4,9322e-03 -1,7383e+00 -4,9295e+00 -2,6258e+00 -1,3791e+00 -3,6258e+00
415 +2,599459240e+00 +2,599459240e+00 +9,469459240e+00 +9,469459240e+00 -1,4423e-02 -9,6083e-01 +2,9906e-01 +3,1307e-02 -5,1481e-01 -1,1776e+00 -1,0519e+00 -5,2833e-01 -8,4899e-01 -2,5061e+00
576 +2,244900987e+00 +2,244900987e+00 +9,114900987e+00 +9,114900987e+00 +2,1567e-02 +4,0692e-02 -9,1720e-02 -9,2564e-01 -1,6335e-01 -6,1947e-01 -1,6050e+00 +5,0705e-01 -2,5833e+00 -3,0174e+00
5222 +1,397295136e+00 +1,397295136e+00 +8,267295136e+00 +8,267295136e+00 +1,0268e-01 +9,5201e-01 -1,0488e-01 -2,6602e-01 +3,5979e-01 +3,5175e-01 +1,0802e-01 +9,0354e-01 -9,9552e-01 +1,2386e+00
96738 +9,060903686e-01 +9,060903686e-01 +7,776090369e+00 +7,776090369e+00 +1,1467e-01 +8,6350e-01 -1,7862e-01 -1,8912e-01 +3,8481e-01 +1,3626e-01 -1,8445e-02 +4,6216e-01 -1,1347e+00 +2,4108e-01
104973 +6,076835044e-01 +6,076835044e-01 +7,477683504e+00 +7,477683504e+00 +9,0047e-02 +8,5991e-01 -1,7826e-01 -1,8355e-01 +3,8136e-01 +1,4449e-01 +3,8397e-03 +4,4251e-01 -1,1377e+00 +2,2354e-01
113089 +3,619845650e-01 +3,619845650e-01 +7,231984565e+00 +7,231984565e+00 +8,3956e-02 +8,7029e-01 -1,8673e-01 -1,8477e-01 +3,9893e-01 +1,4431e-01 -1,3607e-03 +4,5260e-01 -1,1266e+00 +2,2386e-01
125547 +2,279954092e-01 +2,279954092e-01 +7,097995409e+00 +7,097995409e+00 +8,2650e-02 +8,5330e-01 -1,8736e-01 -1,8208e-01 +3,8731e-01 +1,4158e-01 -3,4990e-03 +4,3384e-01 -1,1485e+00 +2,1990e-01
